add-m,12,20,480,231738,482,0
add-s,12,20,480,234235,487,0
add-c,12,20,480,230371,479,0
add-yield-none,12,20,480,244900,510,97
add-yield-m,12,20,480,280843,585,63
add-yield-s,12,20,480,246598,513,84
add-yield-c,12,20,480,297875,620,0
add-none,12,20,480,236286,492,0
add-m,12,20,480,195694,407,0
add-s,12,20,480,192375,400,0
add-c,12,20,480,205299,427,0
add-yield-none,12,20,480,302900,631,60
add-yield-m,12,20,480,332612,692,-13
add-yield-s,12,20,480,283747,591,94
add-yield-c,12,20,480,356329,742,0
add-none,12,20,480,218516,455,0
add-m,12,20,480,208226,433,0
add-s,12,20,480,266194,554,0
add-c,12,20,480,603372,1257,0
add-yield-none,12,20,480,278913,581,68
add-yield-m,12,20,480,431306,898,111
add-yield-s,12,20,480,291850,608,42
add-yield-c,12,20,480,349852,728,0
add-none,12,20,480,221096,460,0
add-m,12,20,480,176547,367,0
add-s,12,20,480,174686,363,0
add-c,12,20,480,200157,416,0
add-yield-none,12,20,480,295067,614,71
add-yield-m,12,20,480,282011,587,90
add-yield-s,12,20,480,280323,584,117
add-yield-c,12,20,480,319296,665,0
add-none,12,20,480,240008,500,0
add-m,12,20,480,178428,371,0
add-s,12,20,480,187020,389,0
add-c,12,20,480,178409,371,0
add-yield-none,12,20,480,289359,602,109
add-yield-m,12,20,480,256144,533,32
add-yield-s,12,20,480,249400,519,36
add-yield-c,12,20,480,256842,535,0
add-none,12,20,480,205770,428,0
add-m,12,20,480,206252,429,0
add-s,12,20,480,200593,417,0
add-c,12,20,480,215130,448,0
add-yield-none,12,20,480,276984,577,63
add-yield-m,12,20,480,261748,545,-8
add-yield-s,12,20,480,254613,530,35
add-yield-c,12,20,480,260691,543,0
add-none,2,40,160,62578,391,0
add-m,2,40,160,63580,397,0
add-s,2,40,160,63678,397,0
add-c,2,40,160,58336,364,0
add-yield-none,2,40,160,106023,662,19
add-yield-m,2,40,160,109270,682,18
add-yield-s,2,40,160,108454,677,20
add-yield-c,2,40,160,105149,657,0
add-none,2,40,160,69099,431,0
add-m,2,40,160,63758,398,0
add-s,2,40,160,62292,389,0
add-c,2,40,160,63472,396,0
add-yield-none,2,40,160,106970,668,19
add-yield-m,2,40,160,107976,674,18
add-yield-s,2,40,160,107164,669,19
add-yield-c,2,40,160,131330,820,0
add-none,2,40,160,67351,420,0
add-m,2,40,160,87145,544,0
add-s,2,40,160,88000,550,0
add-c,2,40,160,64797,404,0
add-yield-none,2,40,160,107401,671,21
add-yield-m,2,40,160,119970,749,19
add-yield-s,2,40,160,108209,676,19
add-yield-c,2,40,160,106724,667,0
add-none,2,40,160,65686,410,0
add-m,2,40,160,63823,398,0
add-s,2,40,160,62933,393,0
add-c,2,40,160,67470,421,0
add-yield-none,2,40,160,108475,677,21
add-yield-m,2,40,160,110705,691,-22
add-yield-s,2,40,160,112065,700,-12
add-yield-c,2,40,160,107250,670,0
add-none,2,40,160,64210,401,0
add-m,2,40,160,62563,391,0
add-s,2,40,160,63825,398,0
add-c,2,40,160,61205,382,0
add-yield-none,2,40,160,104407,652,18
add-yield-m,2,40,160,107737,673,-11
add-yield-s,2,40,160,108501,678,18
add-yield-c,2,40,160,125669,785,0
add-none,2,40,160,61937,387,0
add-m,2,40,160,64155,400,0
add-s,2,40,160,64535,403,0
add-c,2,40,160,64471,402,0
add-yield-none,2,40,160,117043,731,0
add-yield-m,2,40,160,110548,690,-3
add-yield-s,2,40,160,106778,667,17
add-yield-c,2,40,160,108368,677,0
add-none,2,40,160,63919,399,0
add-m,2,40,160,104234,651,0
add-s,2,40,160,63356,395,0
add-c,2,40,160,64687,404,0
add-yield-none,2,40,160,101430,633,18
add-yield-m,2,40,160,107585,672,17
add-yield-s,2,40,160,105391,658,19
add-yield-c,2,40,160,142943,893,0
add-none,2,40,160,64250,401,0
add-m,2,40,160,66903,418,0
add-s,2,40,160,92041,575,0
add-c,2,40,160,80003,500,0
add-yield-none,2,40,160,174221,1088,0
add-yield-m,2,40,160,152076,950,9
add-yield-s,2,40,160,182886,1143,0
add-yield-c,2,40,160,109525,684,0
add-none,2,40,160,62113,388,0
add-m,2,40,160,66832,417,0
add-s,2,40,160,65858,411,0
add-c,2,40,160,64267,401,0
add-yield-none,2,40,160,108240,676,19
add-yield-m,2,40,160,143646,897,19
add-yield-s,2,40,160,109323,683,18
add-yield-c,2,40,160,102490,640,0
add-none,2,40,160,61892,386,0
add-m,2,40,160,110938,693,0
add-s,2,40,160,106872,667,0
add-c,2,40,160,63434,396,0
add-yield-none,2,40,160,106860,667,19
add-yield-m,2,40,160,176581,1103,20
add-yield-s,2,40,160,97175,607,18
add-yield-c,2,40,160,95115,594,0
add-none,4,40,320,80424,251,0
add-m,4,40,320,200350,626,0
add-s,4,40,320,116447,363,12
add-c,4,40,320,123575,386,0
add-yield-none,4,40,320,153734,480,36
add-yield-m,4,40,320,159854,499,-2
add-yield-s,4,40,320,1133949,3543,3
add-yield-c,4,40,320,206125,644,0
add-none,4,40,320,104479,326,0
add-m,4,40,320,105391,329,0
add-s,4,40,320,110981,346,0
add-c,4,40,320,98114,306,0
add-yield-none,4,40,320,164183,513,57
add-yield-m,4,40,320,175686,549,41
add-yield-s,4,40,320,167816,524,53
add-yield-c,4,40,320,173425,541,0
add-none,4,40,320,147236,460,0
add-m,4,40,320,97181,303,0
